dataset,outcome,scaling,lag,model,beta,se,p,sig,mean_y,n
hh,profit_12m,log,1,M2,-14539.166801588508,18334.044433312974,0.43159243266925607,,24941.54484879549,17362
hh,profit_12m,log,1,M3,-19686.583734406362,17477.015467456444,0.2654713028576836,,24941.54484879549,17362
hh,profit_12m,log,1,M4,-40230.85308018365,25233.06294329209,0.11728376619250404,,24941.54484879549,17362
hh,profit_12m,log,2,M2,-4098.8428201613715,6270.115243779678,0.5163542535166935,,24941.54484879549,17362
hh,profit_12m,log,2,M3,-5627.402916756267,5906.840387329344,0.34542198289183057,,24941.54484879549,17362
hh,profit_12m,log,2,M4,-12021.890142345788,8746.976661683762,0.1755696396847152,,24941.54484879549,17362
hh,profit_12m,log,3,M2,-6250.861066182668,5164.124379804312,0.23191680722155386,,24941.54484879549,17362
hh,profit_12m,log,3,M3,-8189.086263868136,5056.198655761669,0.11173449425984223,,24941.54484879549,17362
hh,profit_12m,log,3,M4,-15415.275499405065,7145.795715235915,0.03591749961046247,**,24941.54484879549,17362
hh,profit_12m,log,5,M2,-173044.98048665933,155003.0006105082,0.26969671445802246,,24941.54484879549,17362
hh,profit_12m,log,5,M3,-229278.66432547354,151034.7002115741,0.13542718787955765,,24941.54484879549,17362
hh,profit_12m,log,5,M4,-452036.3421004602,217360.30059504832,0.04281002637506069,**,24941.54484879549,17362
hh,profit_12m,raw,0,M2,617.1505546531243,3738.5463833098115,0.8695620040235167,,24941.54484879549,17362
hh,profit_12m,raw,0,M3,14265.363074413144,7375.602197739269,0.05888324200993261,*,24941.54484879549,17362
hh,profit_12m,raw,0,M4,17900.23682977254,8889.315479248104,0.049551804392476896,**,24941.54484879549,17362
hh,profit_12m,raw,1,M2,-491.2273785467735,1858.0587763630058,0.7925985478906071,,24941.54484879549,17362
hh,profit_12m,raw,1,M3,-6910.368942668372,3803.463485101114,0.07535690216940372,*,24941.54484879549,17362
hh,profit_12m,raw,1,M4,-9045.372399682605,4361.791500599606,0.04337744437944468,**,24941.54484879549,17362
