dataset,outcome,scaling,lag,model,beta,se,p,sig,mean_y,n
nec_cs,share_firms_size_micro_1,lin,0,M3,0.00203598143067752,0.009410870526915726,0.829340328213061,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,0,M4,-0.005733143265491986,0.010191000813288721,0.5756634551597366,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,1,M2,0.004412942939925276,0.009465081871143357,0.6424555423095045,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,1,M3,0.0019250150013708886,0.009405769369848523,0.8384208399499117,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,1,M4,-0.005811928418104968,0.010196922059434132,0.5706636334719393,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,2,M2,0.004428803935623918,0.009452475193832272,0.6408183567352703,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,2,M3,0.00197999747015281,0.00939876044842612,0.8337514965720675,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,2,M4,-0.005787505930308398,0.010191885359364569,0.5720902625924291,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,3,M2,0.004718598377675856,0.00942594190617747,0.6181815974129613,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,3,M3,0.0023937137544524385,0.009411199584155221,0.7999624224063226,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,3,M4,-0.0055906755274488865,0.010182866663298816,0.5848676454316092,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,5,M2,-0.002455431462622752,0.00974547631462045,0.8017928725199039,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,5,M3,4.683213042651624e-4,0.009545067032551906,0.9610058760029195,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,lin,5,M4,0.007014718460455378,0.01017012159322264,0.49281423733526,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,0,M2,0.0013595749201674176,0.008851494151593283,0.8783561288035759,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,0,M3,1.621085291049094e-5,0.009322329821633873,0.9986174142217119,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,0,M4,-0.009207968650666453,0.009943050476478496,0.35783488806915986,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,1,M2,0.0012508730275013584,0.008847861983163936,0.8879679389595506,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,1,M3,-9.330632948351559e-5,0.009312524821325881,0.992033873485048,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,1,M4,-0.00928543160075443,0.009952708078042967,0.3542957615802683,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,2,M2,0.0012618207721305547,0.008833671981853848,0.8868138356329622,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,2,M3,-5.5684016214339405e-5,0.009299538951402576,0.9952392277282032,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,2,M4,-0.009310633401712625,0.00994642158668946,0.35269758509119686,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,3,M2,0.0016021646775295807,0.008824000576216812,0.8564311937874783,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,3,M3,3.618982882090879e-4,0.009301053313385786,0.9690718326053974,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,3,M4,-0.009263195610063139,0.009918859345438649,0.35381328121548017,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,5,M2,7.734362100531528e-4,0.009265400117415494,0.9337049137100578,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,5,M3,0.0024714277215801463,0.009585885060387904,0.7972920666236429,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,log,5,M4,0.009248678680858664,0.00987363420895943,0.3523778849858443,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,0,M2,-0.0019420643721342543,0.0013153593355055902,0.14418318306743053,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,0,M3,4.509632242439051e-4,0.002084477025091318,0.8293403282130606,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,0,M4,-0.0012698724718712903,0.002257273330584136,0.5756634551597316,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,1,M2,-0.001968316056580611,0.0013147516816113453,0.13873816815985435,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,1,M3,4.263845232848106e-4,0.0020833471354942327,0.838420839949901,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,1,M4,-0.0012873231253544629,0.0022585848672283786,0.5706636334719346,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,2,M2,-0.001946041099728733,0.0013148799227415294,0.14323197303288387,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,2,M3,4.38562960192488e-4,0.0020817946823355185,0.83375149657207,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,2,M4,-0.0012819136242289714,0.002257469254645317,0.5720902625924124,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,3,M2,-0.0018285268582474042,0.0013217004416145022,0.1707968117493034,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,3,M3,5.301997632982565e-4,0.002084549910193048,0.7999624224063204,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,3,M4,-0.0012383163341136046,0.002255471642980017,0.584867645431594,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,5,M2,0.002588302449803676,0.0014017652343726662,0.06893549497102208,*,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,5,M3,1.0373163633584006e-4,0.002114201111938132,0.9610058760029129,,0.37340937239038224,75
nec_cs,share_firms_size_micro_1,raw,5,M4,0.0015537371836625343,0.002252648651665755,0.4928142373352714,,0.37340937239038224,75
nec_cs,share_firms_size_small_2_9,lin,0,M2,-7.955692171875476e-5,0.008878306936429638,0.9928751772287657,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,0,M3,0.001843113840398565,0.009103515159767109,0.8401347795954067,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,0,M4,0.009037373838425539,0.009544468169202687,0.34721175025511397,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,1,M2,2.2078782828952948e-5,0.008883289825022898,0.998023790485945,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,1,M3,0.0019630124518490786,0.009097751437999475,0.8297865075204587,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,1,M4,0.009125995655082236,0.00955012675733616,0.3428205107705644,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,2,M2,-6.514655437801255e-7,0.008874785724520757,0.9999416332223492,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,2,M3,0.0019044319120976093,0.009093104417262998,0.8347069412978563,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,2,M4,0.00910034780657,0.009543779517317866,0.3438506739302878,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,3,M2,-3.174501965461043e-4,0.008867478147280351,0.9715413973643322,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,3,M3,0.001460351981022022,0.009118607707584213,0.8732170795497634,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,3,M4,0.008872571478908256,0.009528217186810113,0.3552015714173552,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,5,M2,-0.002115698391324976,0.009101135493372462,0.8168361425184238,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,5,M3,-0.004578330791859256,0.00921925241105348,0.6210014425568474,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,lin,5,M4,-0.010479760420759862,0.009568411439375176,0.2774507945946589,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,log,0,M2,0.002121059756448297,0.008334098325694891,0.7998318489023205,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,log,0,M3,0.003167315990447727,0.008839997361709302,0.7211865884041389,,0.5815556448080867,75
nec_cs,share_firms_size_small_2_9,log,0,M4,0.010114664266355511,0.009248928010290543,0.27816505486496734,,0.5815556448080867,75
