hhid,year,any_shock,n_shocks,total_loss_rs,cope_private_transfer,cope_sell_assets,cope_savings,cope_borrow,cope_gov_transfer,cope_remittance,cope_other_mech,primary_savings,primary_borrow,primary_sell_assets,primary_gov_transfer,primary_private_transfer,primary_remittance,primary_none,shock_type_economic_price,shock_type_natural_disaster,shock_type_other_shock,shock_type_agricultural,shock_type_illness,shock_type_death,shock_type_economic_job
127,2018,1,1,17000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
129,2016,1,2,55000,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
130,2016,1,1,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
130,2018,1,1,35000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
131,2016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
132,2016,1,1,5000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
132,2018,1,1,150000,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
133,2016,1,6,44500,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0
133,2017,1,2,1015500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
134,2016,1,1,250000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
136,2016,1,1,150000,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
137,2016,1,1,75000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
137,2017,1,1,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
138,2016,1,1,5000,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
138,2018,1,1,60000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
139,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
141,2016,1,2,6500,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
141,2017,1,1,15000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
141,2018,1,1,12000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
142,2016,1,1,20000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
143,2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
146,2016,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
147,2016,1,2,6200,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
147,2018,1,1,20000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
148,2018,1,1,25000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
149,2016,1,1,17000,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
149,2017,1,1,32000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
150,2016,1,1,50000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
150,2017,1,1,7000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
150,2018,1,2,15000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
152,2016,1,2,155000,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
