dname,year,native_pop,inmig_count,outmig_count,net_internal_mig_count,mig_in_internal_share,mig_out_internal_share,net_internal_mig_share,mig_out_economic_share,mig_out_noneconomic_share,mig_in_economic_share,mig_in_noneconomic_share,mig_in_temp_share,mig_out_temp_share,net_temp_mig_share,mig_out_temp_economic_share,mig_out_temp_noneconomic_share,mig_in_temp_economic_share,mig_in_temp_noneconomic_share
Panchthar,2011,22412,1171,10655,-9484,0.05224879528823844,0.47541495627342495,-0.4231661609851865,NA,NA,NA,NA,0.01871334943083822,0.10188858226974819,-0.08317523283890997,0.026733356329768886,0.06648844429113487,0.004139358399448086,0.011426353915143152
Panchthar,2021,16874.416365385056,1713.5541949868202,12316.97962963581,-10603.42543464899,0.10154746439123548,0.7299203340094157,-0.6283728696181803,0.23207666918251088,0.4213414617649962,0.01679346937846747,0.08192130730984917,0.121280590845723,0.6957548523378374,-0.5744742614921143,0.2138628206282935,0.4158929015629938,0.02125405463367415,0.0964791648044258
Parbat,2011,16331,1879,10807,-8928,0.11505725307697018,0.661747596595432,-0.5466903435184618,NA,NA,NA,NA,0.033883923520760265,0.15991628012218576,-0.1260323566014255,0.029697929630048647,0.10821359882339632,0.006222423351057812,0.02262699400384659
Parbat,2021,12049.076153814793,2220.5396131277084,10578.902164459229,-8358.36255133152,0.18429127551199645,0.8779845051531108,-0.6936932296411144,0.243016935281588,0.5421098761654839,0.035129535255518055,0.1420748190596738,0.21558622245198666,0.8782129429841568,-0.6626267205321701,0.2381602703733272,0.55285874122913,0.042266473437174684,0.16425566130906405
Parsa,2011,70023,3521,5622,-2101,0.050283478285706125,0.0802879054025106,-0.03000442711680448,NA,NA,NA,NA,0.011269773642473302,0.02634653179587966,-0.015076758153406358,0.006500735284012039,0.015805170352249143,0.0019515949478429379,0.007160429350888525
Parsa,2021,62041.421627521515,5462.175784111023,6190.8319292366505,-728.6561451256275,0.08804079018215158,0.09978546214502608,-0.011744671962874499,0.02556594934972045,0.06806747306934934,0.018486763480334106,0.061328959870386404,0.09679922934422304,0.10762237866843319,-0.01082314932421015,0.030553111322103817,0.07057103318909488,0.02085218430564429,0.06733265741989122
Pyuthan,2011,27278,835,4875,-4040,0.030610748588606202,0.17871544834665298,-0.14810469975804677,NA,NA,NA,NA,0.009291146505954943,0.04667097144497059,-0.03737982493901564,0.010403214234466924,0.03178361314392309,0.0019012770842301622,0.005847323862821064
Pyuthan,2021,24057.207046866417,1245.860416173935,7192.537105023861,-5946.676688849926,0.05178740881045936,0.2989763978425221,-0.24718898903206277,0.08191107885233784,0.17603607052708298,0.0158984368568953,0.03463608838838955,0.06054350610072884,0.2926613123945377,-0.23211780629380882,0.07578044003760347,0.17722215675749095,0.020284739551520003,0.03872875317320496
Ramechhap,2011,24182,840,10965,-10125,0.034736580927962946,0.45343644032751634,-0.4186998593995534,NA,NA,NA,NA,0.011584258324924318,0.10631685166498486,-0.09473259334006054,0.033784056508577194,0.060181634712411704,0.0025025227043390516,0.006579212916246216
Ramechhap,2021,17252.614835619926,1297.193835556507,12972.110230505466,-11674.91639494896,0.07518824525533992,0.7518924148079348,-0.6767041695525948,0.28140840171051373,0.3994916589154767,0.013394168982761339,0.0597149847721767,0.08718060233632886,0.6355004335917589,-0.54831983125543,0.22735356782600427,0.36609252594748437,0.014912981145857644,0.06961339446603436
