dataset,outcome,spec,threshold,lag,c_mig_log_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,err
census,amen_lighting_biogas,S3_lag2,25,2,FALSE,0.000520483323357529,***,0.000153536145106185,0.000757381822983447,0.00145620872379574,0.00256189494197692,950,475,
census,amen_lighting_biogas,S4_lag3,25,3,FALSE,0.000511983823530446,***,0.000156067417047709,0.00111248141238408,0.00145620872379574,0.00256189494197692,950,475,
census,amen_lighting_biogas,S5_lag4,25,4,FALSE,0.000500567788872009,***,0.000155484291558478,0.00137269530059845,0.00145620872379574,0.00256189494197692,950,475,
census,amen_lighting_biogas,S6_lag5,25,5,FALSE,0.000505003226911482,***,0.000154098689429126,0.00112561556175572,0.00145620872379574,0.00256189494197692,950,475,
census,amen_lighting_biogas,S7_lag10,25,10,FALSE,-0.000480115041816664,"",0.000434880000323182,0.270145771196773,0.00145620872379574,0.00256189494197692,950,475,
census,amen_lighting_electricity,S0_baseline,25,0,FALSE,0.0128180631866533,"",0.00786052397731006,0.103620385500588,0.659417391464645,0.35616188377898,1425,475,
census,amen_lighting_electricity,S1_cmig_log,25,0,TRUE,-0.0381884069805379,"",0.0379226657333045,0.31444497212532,0.659417391464645,0.35616188377898,1425,475,
census,amen_lighting_electricity,S2_lag1,25,1,FALSE,0.0117471100366566,"",0.0080483989110411,0.145073815934157,0.659417391464645,0.35616188377898,1425,475,
census,amen_lighting_electricity,S3_lag2,25,2,FALSE,0.018248459919545,**,0.00736210892604495,0.0135331361578846,0.863136552111,0.173334814777878,950,475,
census,amen_lighting_electricity,S4_lag3,25,3,FALSE,0.0182361728298165,**,0.00728910706552243,0.0126909864548136,0.863136552111,0.173334814777878,950,475,
