outcome_group,dataset,outcome,spec,threshold,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Consumption,hh,nonfood_legal_insurance_12m,S_levels,25,-356.628212419466,"",523.064699632651,0.496192418109267,1062.22180482511,18133.9006907399,11844,191,-357 Rs (-34% of mean),""
Consumption,hh,nonfood_other_nonfood_12m,S0_baseline,25,-379.250286641554,"",229.472500404051,0.100042444063357,760.872777360381,2451.7940628735,11844,191,-379 Rs (-50% of mean),
Consumption,hh,nonfood_other_nonfood_12m,S_levels,25,51.4869590966606,"",138.724156376093,0.710942067421289,760.872777360381,2451.7940628735,11844,191,51 Rs (+7% of mean),""
Consumption,hh,nonfood_personal_care_12m,S0_baseline,25,2250.3899634992,***,637.860097215469,0.000524986675380627,4235.30261290592,3435.90397895743,11844,191,"2,250 Rs (+53% of mean)",
Consumption,hh,nonfood_personal_care_12m,S_levels,25,978.750668686143,***,339.229321931275,0.00436361988766655,4235.30261290592,3435.90397895743,11844,191,979 Rs (+23% of mean),""
Consumption,hh,nonfood_taxes_12m,S0_baseline,25,142.311111211971,"",210.797294242502,0.500427365122026,239.62651306453,1857.09668594198,11844,191,142 Rs (+59% of mean),
Consumption,hh,nonfood_taxes_12m,S_levels,25,-65.3459544662572,"",83.2477741525901,0.433456211680485,239.62651306453,1857.09668594198,11844,191,-65 Rs (-27% of mean),""
Consumption,hh,nonfood_transport_12m,S0_baseline,25,7501.08751251828,"",9101.16487492096,0.410865132433927,13757.1710743802,108746.966426205,11844,191,"7,501 Rs (+55% of mean)",
Consumption,hh,nonfood_transport_12m,S_levels,25,-1518.50019877254,"",3621.08876695683,0.675434777947397,13757.1710743802,108746.966426205,11844,191,"-1,519 Rs (-11% of mean)",""
Education,census,edu_attain_higher_secondary_plus,S0_baseline,25,-0.000731422240233843,"",0.00160781375067349,0.649377039098964,0.13011278078489,0.0801570680398961,1425,475,-0.07pp (-1% of mean),
Education,census,edu_attain_higher_secondary_plus,S_levels,25,-0.00159782288612131,*,0.000886756332445327,0.0722005346619905,0.13011278078489,0.0801570680398961,1425,475,-0.16pp (-1% of mean),""
Education,census,edu_attain_primary_plus,S0_baseline,25,-0.00628253207064968,*,0.00323405853385024,0.0526544765875654,0.846504566624782,0.117398775426027,1425,475,-0.63pp (-1% of mean),
Education,census,edu_attain_primary_plus,S_levels,25,-0.00740391980578262,***,0.00175898356680905,0.0000306671831266116,0.846504566624782,0.117398775426027,1425,475,-0.74pp (-1% of mean),""
Education,census,edu_attain_secondary_plus,S0_baseline,25,-0.00978646412022874,***,0.00289313433979337,0.000777367555317699,0.555261619385686,0.144940622484935,1425,475,-0.98pp (-2% of mean),
Education,census,edu_attain_secondary_plus,S_levels,25,-0.0108714319136664,***,0.00148697403399301,0.00000000000113560368960933,0.555261619385686,0.144940622484935,1425,475,-1.09pp (-2% of mean),""
Education,census,edu_attain_tertiary,S0_baseline,25,-0.00139087361279138,"",0.000942006246035908,0.140473343209002,0.051752957394745,0.0428414944390316,1425,475,-0.14pp (-3% of mean),
Education,census,edu_attain_tertiary,S_levels,25,-0.0004167017985659,"",0.000466555949383961,0.372233111151516,0.051752957394745,0.0428414944390316,1425,475,-0.04pp (-1% of mean),""
Education,census,edu_literate,S0_baseline,25,0.0073898065653227,***,0.00213697537067042,0.000593116784382065,0.639975374673741,0.148252524325314,1425,475,+0.74pp (+1% of mean),
Education,census,edu_literate,S_levels,25,0.00759677433190274,***,0.00113354980677441,0.0000000000586118090433237,0.639975374673741,0.148252524325314,1425,475,+0.76pp (+1% of mean),""
Education,census,edu_literate_female,S0_baseline,25,0.010373061789745,***,0.00237786687072709,0.0000158012543768889,0.551756134292075,0.166478396021487,1425,475,+1.04pp (+2% of mean),
Education,census,edu_literate_female,S_levels,25,0.0103309948814751,***,0.00126247741052276,0.0000000000000025700616381364,0.551756134292075,0.166478396021487,1425,475,+1.03pp (+2% of mean),""
Education,census,edu_literate_male,S0_baseline,25,0.00543523610117409,**,0.00213976132379314,0.0113997865898832,0.735256205433682,0.133852194615756,1425,475,+0.54pp (+1% of mean),
Education,census,edu_literate_male,S_levels,25,0.0064895497737371,***,0.00111312444622783,0.0000000102592211177568,0.735256205433682,0.133852194615756,1425,475,+0.65pp (+1% of mean),""
Education,census,edu_school_attend_6_16,S0_baseline,25,0.00901516078125636,***,0.00242516267579084,0.000225378181601384,0.84414139932467,0.11627659826249,1425,475,+0.90pp (+1% of mean),
Education,census,edu_school_attend_6_16,S_levels,25,0.00899047968396377,***,0.00131229538254576,0.0000000000228737582052082,0.84414139932467,0.11627659826249,1425,475,+0.90pp (+1% of mean),""
Education,census,edu_school_attend_6_16_female,S0_baseline,25,0.0131724945830637,***,0.00310482728827232,0.0000265847626040366,0.827517729712707,0.142106614878625,1425,475,+1.32pp (+2% of mean),
Education,census,edu_school_attend_6_16_female,S_levels,25,0.012700773046376,***,0.0016527991411947,0.0000000000000891278085777433,0.827517729712707,0.142106614878625,1425,475,+1.27pp (+2% of mean),""
Education,census,edu_school_attend_6_16_male,S0_baseline,25,0.00491468424069354,**,0.00211313253172674,0.0204512276173714,0.860328935749232,0.0939167282295754,1425,475,+0.49pp (+1% of mean),
Education,census,edu_school_attend_6_16_male,S_levels,25,0.00564234017180821,***,0.00113845962905597,0.00000100282877847925,0.860328935749232,0.0939167282295754,1425,475,+0.56pp (+1% of mean),""
Education,census,edu_years_mean,S0_baseline,25,-0.0231772250077949,"",0.0260523600071645,0.374110433337536,7.15431240583596,1.47173125432377,1425,475,-0.023 (mean 7.154),
Education,census,edu_years_mean,S_levels,25,-0.0806010346596601,***,0.0139204502597933,0.0000000128163126735037,7.15431240583596,1.47173125432377,1425,475,-0.081 (mean 7.154),""
Education,hh,edu_spend_books_12m,S0_baseline,25,347.678425328419,*,179.240479222444,0.0538929200673765,2059.59364703895,2648.8113943667,11561,191,348 Rs (+17% of mean),
Education,hh,edu_spend_books_12m,S_levels,25,65.8315046868514,"",85.372608546776,0.441600774006878,2059.59364703895,2648.8113943667,11561,191,66 Rs (+3% of mean),""
Education,hh,edu_spend_food_lodging_12m,S0_baseline,25,-511.290760526188,*,289.885450748035,0.079378196112804,1781.12807299147,3621.21629948438,11561,191,-511 Rs (-29% of mean),
Education,hh,edu_spend_food_lodging_12m,S_levels,25,-30.4127273831835,"",174.736608642506,0.862012279050393,1781.12807299147,3621.21629948438,11561,191,-30 Rs (-2% of mean),""
Education,hh,edu_spend_other_12m,S0_baseline,25,227.572280985598,"",179.445859672634,0.206280193261986,811.565092506547,2849.86234634777,11561,191,228 Rs (+28% of mean),
Education,hh,edu_spend_other_12m,S_levels,25,118.085496655123,"",79.4220698822968,0.138722664394348,811.565092506547,2849.86234634777,11561,191,118 Rs (+15% of mean),""
Education,hh,edu_spend_per_enrolled,S0_baseline,25,540.878888698421,"",1734.95222471093,0.75556905293423,13925.063757808,24636.2301309024,7228,191,541 Rs (+4% of mean),
Education,hh,edu_spend_per_enrolled,S_levels,25,203.394940454743,"",678.950485006989,0.764830670366927,13925.063757808,24636.2301309024,7228,191,203 Rs (+1% of mean),""
Education,hh,edu_spend_total_12m,S0_baseline,25,-1480.33455235633,"",2511.40794822813,0.556263651476169,16431.7286474614,50800.2290431979,11561,191,"-1,480 Rs (-9% of mean)",
Education,hh,edu_spend_total_12m,S_levels,25,-565.199292019212,"",855.404277807779,0.509579790968004,16431.7286474614,50800.2290431979,11561,191,-565 Rs (-3% of mean),""
Education,hh,edu_spend_transport_12m,S0_baseline,25,178.65415660528,"",146.203858328077,0.223239464594795,522.170397904875,2527.06135669125,11561,191,179 Rs (+34% of mean),
Education,hh,edu_spend_transport_12m,S_levels,25,174.241469243117,**,67.4062878005312,0.010488922615942,522.170397904875,2527.06135669125,11561,191,174 Rs (+33% of mean),""
Education,hh,edu_spend_tuition_12m,S0_baseline,25,-2346.62733148251,"",2337.50615868027,0.316702608117404,7927.21973473008,45600.1621476223,11561,191,"-2,347 Rs (-30% of mean)",
Education,hh,edu_spend_tuition_12m,S_levels,25,-1369.81801401744,*,760.434708046912,0.0732314199445522,7927.21973473008,45600.1621476223,11561,191,"-1,370 Rs (-17% of mean)",""
Education,hh,edu_spend_uniforms_12m,S0_baseline,25,623.678676733019,"",385.764432436701,0.107594690274616,3330.05170228943,5359.55316238229,11561,191,624 Rs (+19% of mean),
Education,hh,edu_spend_uniforms_12m,S_levels,25,476.872978796308,***,176.596608095162,0.00755216638586715,3330.05170228943,5359.55316238229,11561,191,477 Rs (+14% of mean),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_agriculture,S0_baseline,25,0.000501015149010516,"",0.0223604528193573,0.982133279134538,0.614020303256083,0.744660514679136,8550,475,+0.1% (log),""
