dataset,outcome,sample,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_muni,sd_y
nec_cs,share_registered,full,0,0.00635825939190352,"",0.46305497272887,0.635825939190352,1.37311113504151,0.00973025762459315,0.515463113167706,714,714,0.143364859327703
nec_cs,share_registered,full,25,0.00717719348442176,"",0.485554741628495,0.717719348442176,1.47814301233066,0.00774634602633048,0.358079044979695,469,475,0.132074516918932
nec_cs,share_registered,full,50,0.00741686893673438,"",0.492433610985031,0.741686893673438,1.50616626714374,0.0078178665837405,0.346845688897505,399,401,0.127677543252542
nec_cs,share_registered,full,100,0.00104243952800502,"",0.499300767363738,0.104243952800502,0.208779877008602,0.009879418421108,0.916415200959834,305,313,0.129514861531072
nec_cs,share_registered,receiver,0,0.00295025410274993,"",0.459577052775637,0.295025410274993,0.641949828637383,0.0100423597161167,0.769807166887304,559,564,0.141990898194045
nec_cs,share_registered,receiver,25,0.0171029097913375,*,0.488822104284979,1.71029097913375,3.49880041049998,0.00931053417114941,0.0720489327497702,327,338,0.127222970469337
nec_cs,share_registered,receiver,50,0.0174000934461824,**,0.498920912034132,1.74000934461824,3.48754542583536,0.0074668388114039,0.023865445092425,262,268,0.119768048844364
nec_cs,share_registered,receiver,100,0.00277227620996612,"",0.510524837994378,0.277227620996612,0.543024747014689,0.00890715864433414,0.75727477400236,174,186,0.117608592969983
nec_cs,share_registered,sender,0,-0.077358448236461,**,0.476131951753026,-7.7358448236461,-16.2472709406798,0.0377177819459794,0.0497319229916991,137,150,0.148171933278758
nec_cs,share_registered,sender,25,-0.0111166217213112,"",0.477493657118336,-1.11166217213112,-2.32811924422196,0.0126898819804122,0.389039748313989,131,137,0.143517190495876
nec_cs,share_registered,sender,50,-0.0127326463804795,"",0.479361455487595,-1.27326463804795,-2.65616816594654,0.013633101556689,0.359262922898078,127,133,0.141867017310083
nec_cs,share_registered,sender,100,-0.0184812712753098,"",0.48286236470784,-1.84812712753098,-3.82744082498375,0.0147898730569165,0.223022123118991,122,127,0.144114404936934
nec_cs,share_services_total,full,0,-0.0182253536698183,***,0.326239640934174,-1.82253536698183,-5.58649268299546,0.00552445178981097,0.00148581877071387,714,714,0.103250706216885
nec_cs,share_services_total,full,25,-0.00508239358801747,"",0.331624400008421,-0.508239358801747,-1.53257528332909,0.00529205483636843,0.340919385356037,469,475,0.09888851838389
nec_cs,share_services_total,full,50,-0.000788558853234405,"",0.329061893805486,-0.0788558853234405,-0.239638459535681,0.00486234620425575,0.87175053351325,399,401,0.0912153706687201
nec_cs,share_services_total,full,100,-0.00370517313210354,"",0.328173795837061,-0.370517313210354,-1.12902772223263,0.00462451967288095,0.427046857828939,305,313,0.0875795620477689
nec_cs,share_services_total,receiver,0,-0.0144535280213002,***,0.318635406985816,-1.44535280213002,-4.53607091503916,0.00511855094389312,0.00619884461140353,559,564,0.0991264990218658
nec_cs,share_services_total,receiver,25,-0.0078421733221194,"",0.324640785156805,-0.78421733221194,-2.41564636382072,0.00543337953285586,0.155041496879578,327,338,0.0968702208889342
nec_cs,share_services_total,receiver,50,-0.00575019035894948,"",0.319596227981343,-0.575019035894948,-1.79920470127863,0.00588291536776628,0.333057583745661,262,268,0.0832415499788655
nec_cs,share_services_total,receiver,100,-0.00943811742470877,*,0.314618967892473,-0.943811742470877,-2.99985645745759,0.0052500548295912,0.0799671673955661,174,186,0.0726214370843328
nec_cs,share_services_total,sender,0,0.0147359523715251,"",0.35483156058,1.47359523715251,4.1529429759399,0.017877683156829,0.416755410362017,137,150,0.113331907103709
nec_cs,share_services_total,sender,25,-0.00462987443613222,"",0.348854048328467,-0.462987443613222,-1.32716660687077,0.00428134745446716,0.2894452551627,131,137,0.102027557473271
nec_cs,share_services_total,sender,50,-0.0105278798691727,*,0.348135566293233,-1.05278798691727,-3.02407478249581,0.00595368376485021,0.0892142221057049,127,133,0.10319202580001
nec_cs,share_services_total,sender,100,-0.00431870502240057,"",0.348025748574803,-0.431870502240057,-1.24091537482099,0.00597349013082045,0.476403124812841,122,127,0.102863927156371
nec_cs,share_size_10_50_workers,full,0,-0.00320442507098679,*,0.0395787776087637,-0.320442507098679,-8.09632147476242,0.00180051431529078,0.0791714016524335,714,714,0.0274182056639326
nec_cs,share_size_10_50_workers,full,25,0.00093811014262823,"",0.0418336471364726,0.093811014262823,2.24247754341825,0.00210165386124115,0.657022952506601,469,475,0.0290661867952497
nec_cs,share_size_10_50_workers,full,50,0.0000430259090344962,"",0.0413690207645876,0.00430259090344962,0.104005142590484,0.00193368583400134,0.982327051408934,399,401,0.0280285191573834
nec_cs,share_size_10_50_workers,full,100,0.000137827454961466,"",0.038731122631943,0.0137827454961466,0.355857113338084,0.00188910590193802,0.942148282726632,305,313,0.0227706982875375
nec_cs,share_size_10_50_workers,receiver,0,-0.00195769266990368,"",0.039374307720208,-0.195769266990368,-4.97200530816936,0.0019722988440144,0.324375860845181,559,564,0.027181361582688
nec_cs,share_size_10_50_workers,receiver,25,0.00549573170730679,*,0.0423485737282608,0.549573170730679,12.9773714283069,0.00312679383586121,0.084812283902793,327,338,0.0292638097010241
nec_cs,share_size_10_50_workers,receiver,50,0.00349971258943613,"",0.041821537626659,0.349971258943613,8.36820640283022,0.00268293500043584,0.19805819025551,262,268,0.0277318973196141
nec_cs,share_size_10_50_workers,receiver,100,0.00269729825409408,"",0.0379701415501111,0.269729825409408,7.10373505069587,0.00231765656851266,0.251574146094692,174,186,0.0183968062216799
nec_cs,share_size_10_50_workers,sender,0,-0.0159772155281508,**,0.0403475843897329,-1.59772155281508,-39.5989394899598,0.00699722161685888,0.0301998316676794,137,150,0.0283709775853216
nec_cs,share_size_10_50_workers,sender,25,-0.00065242284257699,"",0.0405632443041775,-0.065242284257699,-1.60840892726571,0.00272947555615081,0.812957510331156,131,137,0.0286392467383004
nec_cs,share_size_10_50_workers,sender,50,0.00540715963812675,"",0.0404571822756017,0.540715963812675,13.3651414507619,0.00420795228848132,0.210575427202344,127,133,0.0287010680424817
nec_cs,share_size_10_50_workers,sender,100,0.0031714553167808,"",0.0398456303580905,0.31714553167808,7.95935536288197,0.00382831511100137,0.41527147894217,122,127,0.0280158892803147
nec_cs,share_size_1_worker,full,0,0.0206532751930243,***,0.397644041822751,2.06532751930243,5.19391038737868,0.00672468495570553,0.00296885648445865,714,714,0.132292226124541
nec_cs,share_size_1_worker,full,25,0.0143885976744779,**,0.386504709064752,1.43885976744779,3.7227483487316,0.00609736822989023,0.0217317810509183,469,475,0.124051661833377
