outcome_group,dataset,outcome,spec,threshold,treatment_type,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Consumption,hh,nonfood_taxes_12m,S_fx_alone,25,fx_alone,183.233492919699,"",344.729191933211,0.59567326498969,239.62651306453,1857.09668594198,11844,191,183 Rs (+76% of mean),
Consumption,hh,nonfood_transport_12m,S0_baseline,25,log_int,7501.08751251828,"",9101.16487492096,0.410865132433927,13757.1710743802,108746.966426205,11844,191,"7,501 Rs (+55% of mean)",
Consumption,hh,nonfood_transport_12m,S_fx_alone,25,fx_alone,52731.8768090705,*,27971.7362862981,0.0609313382248282,13757.1710743802,108746.966426205,11844,191,"52,732 Rs (+383% of mean)",
Education,census,edu_attain_higher_secondary_plus,S0_baseline,25,log_int,-0.000731422240233843,"",0.00160781375067349,0.649377039098964,0.13011278078489,0.0801570680398961,1425,475,-0.07pp (-1% of mean),
Education,census,edu_attain_higher_secondary_plus,S_fx_alone,25,fx_alone,0.00413572105448985,"",0.0141893492131678,0.770822008179499,0.13011278078489,0.0801570680398961,1425,475,+0.41pp (+3% of mean),
Education,census,edu_attain_primary_plus,S0_baseline,25,log_int,-0.00628253207064968,*,0.00323405853385024,0.0526544765875654,0.846504566624782,0.117398775426027,1425,475,-0.63pp (-1% of mean),
Education,census,edu_attain_primary_plus,S_fx_alone,25,fx_alone,-0.159938532950505,***,0.032388151730234,0.00000109462000537179,0.846504566624782,0.117398775426027,1425,475,-15.99pp (-19% of mean),
Education,census,edu_attain_secondary_plus,S0_baseline,25,log_int,-0.00978646412022874,***,0.00289313433979337,0.000777367555317699,0.555261619385686,0.144940622484935,1425,475,-0.98pp (-2% of mean),
Education,census,edu_attain_secondary_plus,S_fx_alone,25,fx_alone,-0.0834176994387018,***,0.0247061122958916,0.000794821134757279,0.555261619385686,0.144940622484935,1425,475,-8.34pp (-15% of mean),
Education,census,edu_attain_tertiary,S0_baseline,25,log_int,-0.00139087361279138,"",0.000942006246035908,0.140473343209002,0.051752957394745,0.0428414944390316,1425,475,-0.14pp (-3% of mean),
Education,census,edu_attain_tertiary,S_fx_alone,25,fx_alone,0.00732395669047608,"",0.00782785398601402,0.349941348624704,0.051752957394745,0.0428414944390316,1425,475,+0.73pp (+14% of mean),
