dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,fe_struct,sample
hh,log_n_migrants_total,migrant HHs only,first_stage_pref,100,-0.010513544511772,"",0.910434695986105,-1.0513544511772,-1.15478293590125,0.0133939953014597,0.433892563443829,4213,1727,133,3,0.340805219872177,0.0273649021931416,,hhid + year,HH migrant-only
hh,n_migrants_international,migrant HHs only,first_stage_pref,0,0.0275061591573842,"",0.856797290759555,2.75061591573842,3.21034618736946,0.0396756216142514,0.488710980740905,8268,3294,281,3,0.823952538343833,0.000972105463328377,,lgcode + year,HH migrant-only
hh,n_migrants_international,migrant HHs only,first_stage_pref,25,0.0637472084150395,*,0.851330734022716,6.37472084150395,7.48794867463796,0.0338956418041039,0.0615439463143563,5899,2330,191,3,0.785013175438298,0.00116266248364905,,lgcode + year,HH migrant-only
hh,n_migrants_international,migrant HHs only,first_stage_pref,50,0.0879179757097506,***,0.87322363500374,8.79179757097506,10.0682084388811,0.0312336558112134,0.00546342798189047,5348,2111,169,3,0.796011849947994,0.00156461529727281,,lgcode + year,HH migrant-only
hh,n_migrants_international,migrant HHs only,first_stage_pref,100,0.0679287174730133,*,0.905630271255984,6.79287174730133,7.50071189413817,0.0361917628987125,0.0627376926297908,4387,1727,133,3,0.811585474978778,0.00203154046540488,,lgcode + year,HH migrant-only
hh,n_migrants_international,migrant HHs only,first_stage_pref,0,0.0383483302579389,"",0.856797290759555,3.83483302579389,4.47577632090117,0.0408076561895573,0.348164132585932,7899,3294,281,3,0.823952538343833,0.00863875089956356,,hhid + year,HH migrant-only
hh,n_migrants_international,migrant HHs only,first_stage_pref,25,0.052292684364821,"",0.851330734022716,5.2292684364821,6.14246405949978,0.0329818671694937,0.114516150633962,5646,2330,191,3,0.785013175438298,0.00812171571267539,,hhid + year,HH migrant-only
hh,n_migrants_international,migrant HHs only,first_stage_pref,50,0.0724291524368428,**,0.87322363500374,7.24291524368428,8.29445625764958,0.0328464999012304,0.0288066740465127,5124,2111,169,3,0.796011849947994,0.00934823363548454,,hhid + year,HH migrant-only
hh,n_migrants_international,migrant HHs only,first_stage_pref,100,0.0642216021644495,*,0.905630271255984,6.42216021644495,7.09137097144325,0.037208501856089,0.0866886034161107,4213,1727,133,3,0.811585474978778,0.0130847113744342,,hhid + year,HH migrant-only
hh,log_n_migrants_international,migrant HHs only,first_stage_pref,0,0.0211113627260708,"",0.531221210529205,2.11113627260708,3.97411893720124,0.0237941850928574,0.37570641220859,8268,3294,281,3,0.416776288866954,0.00137496961580352,,lgcode + year,HH migrant-only
hh,log_n_migrants_international,migrant HHs only,first_stage_pref,25,0.0340136393805263,"",0.533283569040371,3.40136393805263,6.37815251681819,0.0208233851312349,0.104033587009386,5899,2330,191,3,0.407286267127658,0.00162676458938271,,lgcode + year,HH migrant-only
hh,log_n_migrants_international,migrant HHs only,first_stage_pref,50,0.0552076474320626,***,0.544920689297093,5.52076474320626,10.1313179177095,0.0189217865973365,0.00400929880207795,5348,2111,169,3,0.407710619560343,0.00235076266540424,,lgcode + year,HH migrant-only
hh,log_n_migrants_international,migrant HHs only,first_stage_pref,100,0.0452404724778189,**,0.562532748093854,4.52404724778189,8.04228245042027,0.0204632211088725,0.0287702022470526,4387,1727,133,3,0.406508542646487,0.00282316013431372,,lgcode + year,HH migrant-only
hh,log_n_migrants_international,migrant HHs only,first_stage_pref,0,0.0295070295475099,"",0.531221210529205,2.95070295475099,5.55456539811632,0.0224288654981437,0.189390303379174,7899,3294,281,3,0.416776288866954,0.00662916899288402,,hhid + year,HH migrant-only
hh,log_n_migrants_international,migrant HHs only,first_stage_pref,25,0.0367770924096929,*,0.533283569040371,3.67770924096929,6.89634831162571,0.0190357005486325,0.0548461389592294,5646,2330,191,3,0.407286267127658,0.00682281032447973,,hhid + year,HH migrant-only
hh,log_n_migrants_international,migrant HHs only,first_stage_pref,50,0.0556309767843379,***,0.544920689297093,5.56309767843379,10.2090043334742,0.0179849443951335,0.00231946359298557,5124,2111,169,3,0.407710619560343,0.00941569816519905,,hhid + year,HH migrant-only
hh,log_n_migrants_international,migrant HHs only,first_stage_pref,100,0.0524720935042849,***,0.562532748093854,5.24720935042849,9.32782912320874,0.0186818494441394,0.00572992412861971,4213,1727,133,3,0.406508542646487,0.012643251450381,,hhid + year,HH migrant-only
