outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,scale_form,beta,stars,se,pval,mean_y,sd_y,n,n_muni,n_unit,interpret,err
Assets / amenities,census,amen_assets_car,S_lin_lin_lag9,25,9,lin_int,FALSE,lin/lin,0.00575054282937383,**,0.00247570729661221,0.0206130248084037,0.0144371932551387,0.0172204882008469,950,475,475,+0.58pp (+40% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag9,50,9,lin_int,FALSE,lin/lin,0.00981885021598827,***,0.00267871793863506,0.000280139229641805,0.0150158344865028,0.0180190535994542,802,401,401,+0.98pp (+65% of mean),
Assets / amenities,census,amen_assets_car,S_lin_lin_lag9,100,9,lin_int,FALSE,lin/lin,0.0130030226971781,***,0.00219764514642145,0.00000000863173312147742,0.0159548358937533,0.0191931033735734,626,313,313,+1.30pp (+81% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag6,0,6,log_int,FALSE,log/lin,-0.00763269582692576,***,0.00137925355399403,0.0000000440136893220907,0.0505545902913793,0.0723458824544718,1428,714,714,-0.76pp (-15% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag6,25,6,log_int,FALSE,log/lin,-0.00485454940684087,***,0.00176159080238682,0.0060808943234041,0.0641021908365583,0.083480240479912,950,475,475,-0.49pp (-8% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag6,50,6,log_int,FALSE,log/lin,-0.0024941663220867,"",0.00201026841128017,0.215438962717372,0.0691932069856468,0.0885758249456326,802,401,401,-0.25pp (-4% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag6,100,6,log_int,FALSE,log/lin,0.00100977530476397,"",0.00257497381720167,0.695215317792157,0.0767420948508957,0.0954830977270498,626,313,313,+0.10pp (+1% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag7,0,7,log_int,FALSE,log/lin,-0.00971967226928987,***,0.00150691309087747,0.000000000206256435617353,0.0505545902913793,0.0723458824544718,1428,714,714,-0.97pp (-19% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag7,25,7,log_int,FALSE,log/lin,-0.00510534961610586,***,0.0018278086027012,0.00543092837108218,0.0641021908365583,0.083480240479912,950,475,475,-0.51pp (-8% of mean),
Assets / amenities,census,amen_assets_computer,S_log_lin_lag7,50,7,log_int,FALSE,log/lin,-0.00220301061505518,"",0.00204387163635328,0.281745135357925,0.0691932069856468,0.0885758249456326,802,401,401,-0.22pp (-3% of mean),
