dataset,outcome,group,spec,threshold,beta,stars,mean_y,beta_pp,pct_of_mean,se,pval,n,n_unit,n_muni,n_years,sd_y,r2_within,err,grid_c_mig,grid_c_fx,grid_block_set,grid_treatment
census,mar_female_age_first_mean,Marriage,tx_log_int_nocmig_cfx_blk_none,0,0.130261259241805,***,17.895327611547,13.0261259241805,0.727906535545921,0.0180928511661154,1.5360403293163e-12,2142,714,714,3,0.921607145805544,0.0484606938451281,,FALSE,TRUE,none,log_int
census,mar_female_married_by_18,Marriage,tx_log_int_nocmig_cfx_blk_none,0,-0.0319725477234541,***,0.432788547343024,-3.19725477234541,-7.38756788268544,0.00210414757174558,2.22000445650256e-45,2142,714,714,3,0.123534377048716,0.190204648128993,,FALSE,TRUE,none,log_int
census,mar_female_married_by_20,Marriage,tx_log_int_nocmig_cfx_blk_none,0,-0.0159783550816787,***,0.740421524494124,-1.59783550816787,-2.15800791212757,0.00183151880524149,1.88135019059583e-17,2142,714,714,3,0.0985588530097524,0.0670438771535067,,FALSE,TRUE,none,log_int
census,fert_birth_mean,Fertility,tx_log_int_nocmig_cfx_blk_none,0,0.0647205377748772,***,2.51259679023961,6.47205377748772,2.57584257156936,0.00871025762164082,3.10564026671529e-13,2142,714,714,3,0.47393730891826,0.0594880432540192,,FALSE,TRUE,none,log_int
census,fert_birth_son_mean,Fertility,tx_log_int_nocmig_cfx_blk_none,0,0.0313456779409199,***,1.30929121529548,3.13456779409199,2.39409518483982,0.00450580654355012,7.89473013234819e-12,2142,714,714,3,0.242656584593192,0.0557226751846728,,FALSE,TRUE,none,log_int
census,fert_birth_dau_mean,Fertility,tx_log_int_nocmig_cfx_blk_none,0,0.0333748598339576,***,1.20330557494413,3.33748598339576,2.77359803934317,0.0043715322293962,7.29192217508741e-14,2142,714,714,3,0.237860150432136,0.0584650144902854,,FALSE,TRUE,none,log_int
census,fert_births_last12m_share,Fertility,tx_log_int_nocmig_cfx_blk_none,0,0.00330786789954537,***,0.0803019997688258,0.330786789954537,4.11928458701911,0.000601389107713422,5.28537329484667e-08,2142,714,714,3,0.0287474768960361,0.0267585888211592,,FALSE,TRUE,none,log_int
census,fert_births_last12m_rate,Fertility,tx_log_int_nocmig_cfx_blk_none,0,0.00338725024920601,***,0.08056735675522,0.338725024920601,4.20424646609316,0.000605446441028099,3.15306716974904e-08,2142,714,714,3,0.0287543001338726,0.0278358072267643,,FALSE,TRUE,none,log_int
census,mort_children_dead_mean,Child Mortality,tx_log_int_nocmig_cfx_blk_none,0,-0.00780788857841609,***,0.172794690120064,-0.780788857841609,-4.5185928878896,0.00232176092505408,0.000812437952189162,2142,714,714,3,0.132247813212026,0.0148947943457621,,FALSE,TRUE,none,log_int
census,mort_child_dead_any,Child Mortality,tx_log_int_nocmig_cfx_blk_none,0,-0.00223242211134292,**,0.107452780653333,-0.223242211134292,-2.07758430984231,0.00113133240705087,0.0488508153973172,2142,714,714,3,0.0674131580763025,0.00741953718478483,,FALSE,TRUE,none,log_int
