outcome_group,dataset,outcome,spec,threshold,lag,treatment_kind,c_mig_log_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Assets / amenities,census,amen_assets_car,S_both_log,25,0,log_int,TRUE,0.00848155574355465,***,0.00307621102036252,0.00605592146682474,0.0144371932551387,0.0172204882008469,950,475,+0.85pp (+59% of mean),
Assets / amenities,census,amen_assets_car,S_both_log,50,0,log_int,TRUE,0.0035346932843596,"",0.0041088363463487,0.390157600862446,0.0150158344865028,0.0180190535994542,802,401,+0.35pp (+24% of mean),
Assets / amenities,census,amen_assets_car,S_both_log,100,0,log_int,TRUE,-0.00112400197872227,"",0.00434652560364921,0.796116090557802,0.0159548358937533,0.0191931033735734,626,313,-0.11pp (-7% of mean),
Assets / amenities,census,amen_assets_car,S_both_linear,0,0,lin_int,FALSE,0.00943069139420794,***,0.00310639457701687,0.00248556211537663,0.0117554383176144,0.0151658398360243,1428,714,+0.94pp (+80% of mean),
Assets / amenities,census,amen_assets_car,S_both_linear,25,0,lin_int,FALSE,0.00121567639564057,"",0.00510702002326435,0.8119527295958,0.0144371932551387,0.0172204882008469,950,475,+0.12pp (+8% of mean),
Assets / amenities,census,amen_assets_car,S_both_linear,50,0,lin_int,FALSE,-0.00507508836534176,"",0.00519242413529814,0.328960665869288,0.0150158344865028,0.0180190535994542,802,401,-0.51pp (-34% of mean),
Assets / amenities,census,amen_assets_car,S_both_linear,100,0,lin_int,FALSE,-0.0114100711267928,**,0.00456421219027471,0.0129360226174383,0.0159548358937533,0.0191931033735734,626,313,-1.14pp (-72% of mean),
Assets / amenities,census,amen_assets_computer,S0_baseline,0,0,log_int,FALSE,-0.00663378639951075,***,0.00128700572964368,0.00000032978509327967,0.0505545902913793,0.0723458824544718,1428,714,-0.66pp (-13% of mean),
Assets / amenities,census,amen_assets_computer,S0_baseline,25,0,log_int,FALSE,-0.0048169837215701,***,0.00164035592836267,0.00348034045000404,0.0641021908365583,0.083480240479912,950,475,-0.48pp (-8% of mean),
Assets / amenities,census,amen_assets_computer,S0_baseline,50,0,log_int,FALSE,-0.00280694180835446,"",0.00192996305737175,0.14661914483048,0.0691932069856468,0.0885758249456326,802,401,-0.28pp (-4% of mean),
Assets / amenities,census,amen_assets_computer,S0_baseline,100,0,log_int,FALSE,0.000401453245381369,"",0.00244411075875953,0.869638104125568,0.0767420948508957,0.0954830977270498,626,313,+0.04pp (+1% of mean),
Assets / amenities,census,amen_assets_computer,S_lag1,0,1,log_int,FALSE,-0.00718459749448967,***,0.00131088930382818,0.0000000588151296242166,0.0505545902913793,0.0723458824544718,1428,714,-0.72pp (-14% of mean),
Assets / amenities,census,amen_assets_computer,S_lag1,25,1,log_int,FALSE,-0.00493500487741918,***,0.00170147518428238,0.00389973901066404,0.0641021908365583,0.083480240479912,950,475,-0.49pp (-8% of mean),
Assets / amenities,census,amen_assets_computer,S_lag1,50,1,log_int,FALSE,-0.00275707846608629,"",0.00199750663329364,0.168277490281018,0.0691932069856468,0.0885758249456326,802,401,-0.28pp (-4% of mean),
Assets / amenities,census,amen_assets_computer,S_lag1,100,1,log_int,FALSE,0.000687390078418832,"",0.00254388117439502,0.787174944885733,0.0767420948508957,0.0954830977270498,626,313,+0.07pp (+1% of mean),
Assets / amenities,census,amen_assets_computer,S_lag2,0,2,log_int,FALSE,-0.00807185462888033,***,0.0014239495349509,0.0000000209068275920565,0.0505545902913793,0.0723458824544718,1428,714,-0.81pp (-16% of mean),
Assets / amenities,census,amen_assets_computer,S_lag2,25,2,log_int,FALSE,-0.00502823362658396,***,0.0017247900477387,0.00372208421443081,0.0641021908365583,0.083480240479912,950,475,-0.50pp (-8% of mean),
Assets / amenities,census,amen_assets_computer,S_lag2,50,2,log_int,FALSE,-0.00260478489462569,"",0.00199388308006616,0.19217131437019,0.0691932069856468,0.0885758249456326,802,401,-0.26pp (-4% of mean),
Assets / amenities,census,amen_assets_computer,S_lag2,100,2,log_int,FALSE,0.000792702759522667,"",0.00253927457647779,0.755114645366197,0.0767420948508957,0.0954830977270498,626,313,+0.08pp (+1% of mean),
Assets / amenities,census,amen_assets_computer,S_lag3,0,3,log_int,FALSE,-0.00697765818389672,***,0.00130590031664045,0.00000012300564293677,0.0505545902913793,0.0723458824544718,1428,714,-0.70pp (-14% of mean),
Assets / amenities,census,amen_assets_computer,S_lag3,25,3,log_int,FALSE,-0.00472144436866409,***,0.0016911931450824,0.00545359843133951,0.0641021908365583,0.083480240479912,950,475,-0.47pp (-7% of mean),
Assets / amenities,census,amen_assets_computer,S_lag3,50,3,log_int,FALSE,-0.00249116128659045,"",0.00193931569165884,0.199690599933181,0.0691932069856468,0.0885758249456326,802,401,-0.25pp (-4% of mean),
Assets / amenities,census,amen_assets_computer,S_lag3,100,3,log_int,FALSE,0.000916462487274639,"",0.00249346200461733,0.71346083077513,0.0767420948508957,0.0954830977270498,626,313,+0.09pp (+1% of mean),
Assets / amenities,census,amen_assets_computer,S_lag4,0,4,log_int,FALSE,-0.00649727399955745,***,0.00126206237708684,0.000000340631174790206,0.0505545902913793,0.0723458824544718,1428,714,-0.65pp (-13% of mean),
Assets / amenities,census,amen_assets_computer,S_lag4,25,4,log_int,FALSE,-0.00450170001614234,***,0.00168954551539229,0.00797444391320803,0.0641021908365583,0.083480240479912,950,475,-0.45pp (-7% of mean),
Assets / amenities,census,amen_assets_computer,S_lag4,50,4,log_int,FALSE,-0.00236403170192648,"",0.00191495109223534,0.217736603342004,0.0691932069856468,0.0885758249456326,802,401,-0.24pp (-3% of mean),
Assets / amenities,census,amen_assets_computer,S_lag4,100,4,log_int,FALSE,0.0011153490355197,"",0.00247434881653281,0.652472262917846,0.0767420948508957,0.0954830977270498,626,313,+0.11pp (+1% of mean),
Assets / amenities,census,amen_assets_computer,S_lag5,0,5,log_int,FALSE,-0.00678157344416108,***,0.00134074603075777,0.000000539246658748713,0.0505545902913793,0.0723458824544718,1428,714,-0.68pp (-13% of mean),
Assets / amenities,census,amen_assets_computer,S_lag5,25,5,log_int,FALSE,-0.00454355302151572,***,0.0017362928323632,0.00915899826500659,0.0641021908365583,0.083480240479912,950,475,-0.45pp (-7% of mean),
Assets / amenities,census,amen_assets_computer,S_lag5,50,5,log_int,FALSE,-0.00230796424640322,"",0.00196328866624935,0.240469849911128,0.0691932069856468,0.0885758249456326,802,401,-0.23pp (-3% of mean),
Assets / amenities,census,amen_assets_computer,S_lag5,100,5,log_int,FALSE,0.00130278620984891,"",0.00253654562195216,0.6078906866407,0.0767420948508957,0.0954830977270498,626,313,+0.13pp (+2% of mean),
Assets / amenities,census,amen_assets_computer,S_lag10,0,10,log_int,FALSE,-0.0123679185024133,***,0.00220537761200808,0.0000000292735089773952,0.0505545902913793,0.0723458824544718,1428,714,-1.24pp (-24% of mean),
Assets / amenities,census,amen_assets_computer,S_lag10,25,10,log_int,FALSE,-0.000144138752154857,"",0.00353296074879381,0.96747388241369,0.0641021908365583,0.083480240479912,950,475,-0.01pp (-0% of mean),
Assets / amenities,census,amen_assets_computer,S_lag10,50,10,log_int,FALSE,0.0081765033994237,**,0.00392758113451234,0.0379944803311123,0.0691932069856468,0.0885758249456326,802,401,+0.82pp (+12% of mean),
Assets / amenities,census,amen_assets_computer,S_lag10,100,10,log_int,FALSE,0.0134771899266946,***,0.00359993648029753,0.000215833483252429,0.0767420948508957,0.0954830977270498,626,313,+1.35pp (+18% of mean),
Assets / amenities,census,amen_assets_computer,S_both_log,0,0,log_int,TRUE,0.011922473685794,***,0.00294734201888204,0.0000579937213039112,0.0505545902913793,0.0723458824544718,1428,714,+1.19pp (+24% of mean),
Assets / amenities,census,amen_assets_computer,S_both_log,25,0,log_int,TRUE,0.00904405846288895,"",0.00710194479501224,0.203478202623311,0.0641021908365583,0.083480240479912,950,475,+0.90pp (+14% of mean),
Assets / amenities,census,amen_assets_computer,S_both_log,50,0,log_int,TRUE,-0.00524469861976523,"",0.00820172446281674,0.522887875449388,0.0691932069856468,0.0885758249456326,802,401,-0.52pp (-8% of mean),
Assets / amenities,census,amen_assets_computer,S_both_log,100,0,log_int,TRUE,-0.0125724721002624,"",0.00900186122421574,0.163510788393542,0.0767420948508957,0.0954830977270498,626,313,-1.26pp (-16% of mean),
Assets / amenities,census,amen_assets_computer,S_both_linear,0,0,lin_int,FALSE,0.0290953919390921,***,0.00890358379169602,0.00113571388864885,0.0505545902913793,0.0723458824544718,1428,714,+2.91pp (+58% of mean),
Assets / amenities,census,amen_assets_computer,S_both_linear,25,0,lin_int,FALSE,-0.00194176813141068,"",0.0125043902395029,0.876661238751034,0.0641021908365583,0.083480240479912,950,475,-0.19pp (-3% of mean),
Assets / amenities,census,amen_assets_computer,S_both_linear,50,0,lin_int,FALSE,-0.020819966026661,"",0.0131765197852331,0.114878765216727,0.0691932069856468,0.0885758249456326,802,401,-2.08pp (-30% of mean),
Assets / amenities,census,amen_assets_computer,S_both_linear,100,0,lin_int,FALSE,-0.0373891819037528,***,0.013054065570034,0.00446432639325114,0.0767420948508957,0.0954830977270498,626,313,-3.74pp (-49% of mean),
Assets / amenities,census,amen_assets_cycle,S0_baseline,0,0,log_int,FALSE,0.00211577226596934,"",0.00221548578466912,0.33990516213872,0.262381245225638,0.326180363589175,1428,714,+0.21pp (+1% of mean),
Assets / amenities,census,amen_assets_cycle,S0_baseline,25,0,log_int,FALSE,0.00378238438539699,*,0.00216302645475149,0.0809982089408585,0.255511159741158,0.316363652467823,950,475,+0.38pp (+1% of mean),
Assets / amenities,census,amen_assets_cycle,S0_baseline,50,0,log_int,FALSE,0.00367442187138328,"",0.00266299375240399,0.168416337323003,0.250265749257149,0.313551604195727,802,401,+0.37pp (+1% of mean),
Assets / amenities,census,amen_assets_cycle,S0_baseline,100,0,log_int,FALSE,0.00589403108282884,*,0.00306633936816534,0.0554945666521085,0.236321082858123,0.301719115365936,626,313,+0.59pp (+2% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag1,0,1,log_int,FALSE,0.00237879129762228,"",0.00225781938753999,0.292432568342619,0.262381245225638,0.326180363589175,1428,714,+0.24pp (+1% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag1,25,1,log_int,FALSE,0.00393032854876531,*,0.00224378577332689,0.080480632371374,0.255511159741158,0.316363652467823,950,475,+0.39pp (+2% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag1,50,1,log_int,FALSE,0.00382108305232779,"",0.0027767905953625,0.16956711137243,0.250265749257149,0.313551604195727,802,401,+0.38pp (+2% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag1,100,1,log_int,FALSE,0.00607545130015667,*,0.00320780908380066,0.0591555707681621,0.236321082858123,0.301719115365936,626,313,+0.61pp (+3% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag2,0,2,log_int,FALSE,0.00284737794324384,"",0.00243413131353707,0.242483729011749,0.262381245225638,0.326180363589175,1428,714,+0.28pp (+1% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag2,25,2,log_int,FALSE,0.00387691289001005,*,0.00227320359428106,0.0887592966089667,0.255511159741158,0.316363652467823,950,475,+0.39pp (+2% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag2,50,2,log_int,FALSE,0.00382029639900439,"",0.0027856583147082,0.171014127109106,0.250265749257149,0.313551604195727,802,401,+0.38pp (+2% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag2,100,2,log_int,FALSE,0.00600101175835757,*,0.0032125629498591,0.0627017411190967,0.236321082858123,0.301719115365936,626,313,+0.60pp (+3% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag3,0,3,log_int,FALSE,0.00236961344394354,"",0.0022895238490669,0.30102873146388,0.262381245225638,0.326180363589175,1428,714,+0.24pp (+1% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag3,25,3,log_int,FALSE,0.00383116195705388,*,0.00223497820367689,0.0871488136432178,0.255511159741158,0.316363652467823,950,475,+0.38pp (+1% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag3,50,3,log_int,FALSE,0.00382677340943006,"",0.00274614481107775,0.164240157031983,0.250265749257149,0.313551604195727,802,401,+0.38pp (+2% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag3,100,3,log_int,FALSE,0.00598657872487476,*,0.00318619625304691,0.0611887748034062,0.236321082858123,0.301719115365936,626,313,+0.60pp (+3% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag4,0,4,log_int,FALSE,0.00221285860714509,"",0.00223180006653096,0.321771545548338,0.262381245225638,0.326180363589175,1428,714,+0.22pp (+1% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag4,25,4,log_int,FALSE,0.00387529282938911,*,0.00222644360237742,0.0824069697138679,0.255511159741158,0.316363652467823,950,475,+0.39pp (+2% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag4,50,4,log_int,FALSE,0.00391733046713842,"",0.00274069902578128,0.153693351180698,0.250265749257149,0.313551604195727,802,401,+0.39pp (+2% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag4,100,4,log_int,FALSE,0.00599644410123185,*,0.00318594533469596,0.0607454795882428,0.236321082858123,0.301719115365936,626,313,+0.60pp (+3% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag5,0,5,log_int,FALSE,0.00277138334666043,"",0.00227914061853679,0.224395978917822,0.262381245225638,0.326180363589175,1428,714,+0.28pp (+1% of mean),
Assets / amenities,census,amen_assets_cycle,S_lag5,25,5,log_int,FALSE,0.00391473896435507,*,0.00225132047567553,0.0827080364009787,0.255511159741158,0.316363652467823,950,475,+0.39pp (+2% of mean),
