dcode,year,edu_literate_female,edu_literate_male,edu_school_attend_6_16_female,edu_school_attend_6_16_male,edu_attain_secondary_plus,mar_female_married_by_18,mar_female_age_first_mean,fert_birth_mean,fert_birth_son_mean,fert_birth_dau_mean,flfp_all,mlfp_all,fem_employment_rate,flfp_wage,fem_wage_share_of_employment,fem_share_of_ag_workers,fem_ag_specialization_ratio,work_share_agriculture,work_share_household_chores,fem_ownership_house,fem_ownership_land,fem_ownership_both,head_female_share,head_female_elderly,left_not_with_both,left_father_only,absent_hh_share
54,2021,0.716,0.8698,0.903,0.9127,0.451,0.3008,18.6605,2.0832,1.102,0.9812,0.5958,0.7951,0.5435,0.1361,0.2504,0.5198,0.9893,0.2793,0.2575,0.1727,0.2296,0.1324,0.3026,0.0458,0.1735,0.0087,0.231
55,2001,0.3622,0.595,0.7247,0.8008,0.289,0.5292,17.5032,2.6728,1.4129,1.2598,0.7261,0.8693,0.723,0.0189,0.0261,0.4641,0.8729,0.6188,0.0928,0.0331,0.0562,0.0319,0.1047,0.0234,0.0971,0.0142,0.0708
55,2011,0.5593,0.7548,0.8933,0.8942,0.2391,0.5372,17.4024,2.6838,1.4103,1.2736,0.5985,0.7503,0.5961,0.0317,0.0532,0.5467,1.0067,0.5104,0.1139,0.0478,0.0961,0.0478,0.2321,0.0314,0.1,0.0039,0.2294
55,2021,0.6295,0.7899,0.8461,0.8726,0.3598,0.3113,18.416,2.4451,1.2804,1.1647,0.6467,0.8169,0.5947,0.1259,0.2118,0.4812,0.8418,0.3967,0.2809,0.1358,0.2091,0.1022,0.249,0.0446,0.1659,0.0083,0.2531
56,2001,0.4685,0.6951,0.7338,0.8175,0.3736,0.5317,17.3535,2.7271,1.4163,1.3109,0.4558,0.7762,0.4528,0.0546,0.1205,0.3771,0.5747,0.2899,0.2128,0.0514,0.1143,0.0465,0.1463,0.0179,0.1207,0.0092,0.1411
56,2011,0.6296,0.7957,0.9003,0.9013,0.299,0.5123,17.4663,2.3468,1.2023,1.1444,0.4661,0.7423,0.4618,0.0567,0.1228,0.5201,0.8539,0.3534,0.1937,0.1231,0.2302,0.1231,0.2831,0.0296,0.1406,0.0057,0.2809
56,2021,0.7434,0.869,0.9407,0.9326,0.3851,0.3886,18.6691,1.9327,1.0076,0.925,0.6907,0.8098,0.6514,0.1316,0.202,0.5819,1.1523,0.3751,0.23,0.1379,0.2293,0.1205,0.3559,0.038,0.2416,0.009,0.2601
57,2001,0.4922,0.6587,0.6947,0.7546,0.4652,0.5137,17.2389,2.7806,1.4571,1.3235,0.3125,0.7752,0.3077,0.0654,0.2125,0.3413,0.567,0.166,0.2669,0.0503,0.0899,0.0411,0.1056,0.0197,0.1213,0.016,0.0656
57,2011,0.5532,0.708,0.7684,0.7992,0.3696,0.5411,17.096800000000002,2.3024,1.2183,1.0841,0.3392,0.7591,0.3349,0.0586,0.1751,0.43,0.6906,0.2676,0.2675,0.1111,0.196,0.1111,0.223,0.0305,0.10780000000000001,0.0074,0.1674
57,2021,0.6502,0.7814,0.8145,0.8254,0.4261,0.3551,18.6665,2.13,1.1282,1.0019,0.6375,0.8013,0.5884,0.1422,0.2417,0.5398,1.0653,0.3037,0.2597,0.147,0.2071,0.1249,0.3096,0.0395,0.1855,0.0085,0.182
58,2001,0.3541,0.549,0.6025,0.7245,0.2724,0.5678,17.1687,2.9495,1.538,1.4115,0.4484,0.816,0.4449,0.0739,0.1661,0.3796,0.6226,0.3642,0.2253,0.0512,0.1103,0.0474,0.1063,0.0148,0.0888,0.0109,0.0944
58,2011,0.5821,0.7427,0.9169,0.9185,0.2554,0.529,17.3583,2.5232,1.3115,1.2117,0.5266,0.7529,0.5238,0.0647,0.1236,0.5311,0.9456,0.4239,0.1514,0.1085,0.1947,0.1085,0.2494,0.027,0.1107,0.0081,0.2161
58,2021,0.7056,0.8278,0.9291,0.9227,0.3368,0.3436,18.8094,1.947,1.015,0.932,0.7917,0.8714,0.7652,0.1257,0.1643,0.6059,1.2444,0.5036,0.2074,0.1037,0.1862,0.0957,0.3525,0.0458,0.2558,0.0082,0.1933
