"lgcode","year","geog_pop_2001","geog_total_mig_2001","geog_intensity_2001","shareshock_index_2001","shareshock_growth_yoy","shareshock_log_yoy","shareshock_growth_dec","shareshock_log_dec","ssiv_index_2001","ssiv_growth_yoy","ssiv_log_yoy","ssiv_growth_dec","ssiv_log_dec","absexp_index_2001","absexp_growth_yoy","absexp_log_yoy","absexp_growth_dec","absexp_log_dec"
70405,2023,34431,24,0.000697046266445935,0.5835454375,-0.042314544525,-0.0434788201208333,0,0,0.000406758168510935,-0.0000294951952775115,-0.0000303067492347013,0,0,14.0050905,-1.0155490686,-1.0434916829,0,0
70406,2000,17367,15,0.000863707030575229,1.01926130430667,0,0,0,0,0.000880343154522946,0,0,0,0,15.2889195646,0,0,0,0
70406,2001,17367,15,0.000863707030575229,1,-0.0176682256866667,-0.0184561119866667,0,0,0.000863707030575229,-0.0000152601707433638,-0.0000159406736799678,0,0,15,-0.2650233853,-0.2768416798,0,0
70406,2002,17367,15,0.000863707030575229,0.96920341524,-0.03079658476,-0.0316165719066667,0,0,0.000837107803800311,-0.000026599226774918,-0.0000273074554384753,0,0,14.5380512286,-0.4619487714,-0.4742485786,0,0
70406,2003,17367,15,0.000863707030575229,0.966982545713333,-0.00300998819333333,-0.00410813174,0,0,0.000835189623176139,-0.00000259974796453043,-0.00000354822226636725,0,0,14.5047381857,-0.0451498229,-0.0616219761,0,0
70406,2004,17367,15,0.000863707030575229,0.985302565786667,0.01637472092,0.0153206765533333,0,0,0.000851012753313756,0.0000141429615823113,0.0000132325760522831,0,0,14.7795384868,0.2456208138,0.2298101483,0,0
70406,2005,17367,15,0.000863707030575229,1.0262079546,0.0392199040733333,0.0377400305533333,0,0,0.000886343025220245,0.0000338745068866241,0.0000325963297230379,0,0,15.393119319,0.5882985611,0.5661004583,0,0
70406,2006,17367,15,0.000863707030575229,1.02467525942,-0.00360685434666667,-0.00411528922666666,0,0,0.000885019225617551,-0.00000311526545747682,-0.0000035544042379225,0,0,15.3701288913,-0.0541028152,-0.0617293384,0,0
70406,2007,17367,15,0.000863707030575229,1.08595779306667,0.05538627724,0.0530357404933333,0,0,0.00093794938077964,0.0000478375170495768,0.0000458073419358554,0,0,16.289366896,0.8307941586,0.7955361074,0,0
70406,2008,17367,15,0.000863707030575229,1.03180254532667,-0.0480145029,-0.0503490242933333,0,0,0.000891175112564058,-0.0000414704637243047,-0.000043486806264755,0,0,15.4770381799,-0.7202175435,-0.7552353644,0,0
70406,2009,17367,15,0.000863707030575229,0.963150106473333,-0.0623006180466667,-0.0659504885733333,0,0,0.000831879518460298,-0.000053809481816088,-0.0000569619006506593,0,0,14.4472515971,-0.9345092707,-0.9892573286,0,0
70406,2010,17367,15,0.000863707030575229,1.00322232802667,0.0377645304333333,0.03610342002,0,0,0.000866490177946681,0.0000326174904416422,0.0000311827776990845,0,0,15.0483349204,0.5664679565,0.5415513003,0,0
70406,2011,17367,15,0.000863707030575229,0.99977659822,-0.0112161724,-0.0123970600333333,-0.000223401780000004,-0.02633669822,0.0008635140768872,-0.00000968748695802384,-0.0000107074279092532,-0.000000192953688029027,-0.0000227471914147521,14.9966489733,-0.168242586,-0.1859559005,-0.00335102670000011,-0.3950504733
70406,2012,17367,15,0.000863707030575229,0.91671524554,-0.0898819126533333,-0.0960504450266667,0,0,0.000791773402608395,-0.0000776316398802326,-0.0000829594446594115,0,0,13.7507286831,-1.3482286898,-1.4407566754,0,0
70406,2013,17367,15,0.000863707030575229,0.847662795953333,-0.0715501403666667,-0.0754347079066667,0,0,0.00073213231642195,-0.0000617983592733345,-0.0000651534875683768,0,0,12.7149419393,-1.0732521055,-1.1315206186,0,0
70406,2014,17367,15,0.000863707030575229,0.814549280226667,-0.0385812438866667,-0.03973912846,0,0,0.000703531940081764,-0.0000333228915932516,-0.0000343229646398342,0,0,12.2182392034,-0.5787186583,-0.5960869269,0,0
70406,2015,17367,15,0.000863707030575229,0.798893206606667,-0.01394630398,-0.01518077826,0,0,0.000690009679224967,-0.0000120455207980653,-0.0000131117449127656,0,0,11.9833980991,-0.2091945597,-0.2277116739,0,0
70406,2016,17367,15,0.000863707030575229,0.783275690946667,-0.0180458058133333,-0.0188221435466667,0,0,0.000676520721149306,-0.0000155862893533713,-0.0000162568177117522,0,0,11.7491353642,-0.2706870872,-0.2823321532,0,0
70406,2017,17367,15,0.000863707030575229,0.806948062926667,0.0307745487933333,0.0300268456533333,0,0,0.000696966715258824,0.0000265801941555824,0.0000259343976967813,0,0,12.1042209439,0.4616182319,0.4504026848,0,0
70406,2018,17367,15,0.000863707030575229,0.788943607353333,-0.02656946984,-0.0273030526533333,0,0,0.000681416140398457,-0.0000229482378994645,-0.0000235818385328497,0,0,11.8341541103,-0.3985420476,-0.4095457898,0,0
70406,2019,17367,15,0.000863707030575229,0.779058776686667,-0.0108875383733333,-0.01116914068,0,0,0.000672878542655611,-0.00000940364343870559,-0.00000964686533079979,0,0,11.6858816503,-0.1633130756,-0.1675371102,0,0
