lgcode,share_e_asia,share_gulf,share_oecd_europe,share_oecd_north,share_other,share_s_asia,share_se_asia
11306,0.1533203125,0.609375,0.060546875,0.044921875,0.0390625,0.0087890625,0.083984375
11307,0.22916666666666666,0.5,0.10416666666666667,0.14583333333333334,0.0,0.020833333333333332,0.0
11308,0.0,0.7692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0
11309,0.09259259259259259,0.48148148148148145,0.08333333333333333,0.23148148148148148,0.06481481481481481,0.037037037037037035,0.009259259259259259
11310,0.0,0.9552238805970149,0.0,0.014925373134328358,0.0,0.014925373134328358,0.014925373134328358
11311,0.0,0.2,0.0,0.0,0.8,0.0,0.0
11312,0.125,0.5,0.0,0.125,0.125,0.0,0.125
11401,0.08461538461538462,0.7615384615384615,0.007692307692307693,0.007692307692307693,0.08461538461538462,0.015384615384615385,0.038461538461538464
11402,0.05191256830601093,0.6939890710382514,0.04371584699453552,0.01912568306010929,0.07923497267759563,0.01912568306010929,0.09289617486338798
11403,0.07264957264957266,0.6709401709401709,0.02564102564102564,0.05982905982905983,0.06837606837606838,0.008547008547008548,0.09401709401709402
11404,0.0,0.7857142857142857,0.0,0.0,0.14285714285714285,0.03571428571428571,0.03571428571428571
11405,0.06382978723404255,0.7021276595744681,0.0,0.02127659574468085,0.0425531914893617,0.0425531914893617,0.1276595744680851
11406,0.0,0.8837209302325582,0.0,0.0,0.06976744186046512,0.046511627906976744,0.0
11407,0.11242603550295859,0.6449704142011834,0.07100591715976332,0.023668639053254437,0.03550295857988166,0.05917159763313609,0.05325443786982249
11408,0.041666666666666664,0.8333333333333334,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664
20101,0.03225806451612903,0.7419354838709677,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903
20102,0.057692307692307696,0.6538461538461539,0.019230769230769232,0.057692307692307696,0.07692307692307693,0.11538461538461539,0.019230769230769232
20103,0.0,0.95,0.0,0.0,0.0,0.0,0.05
20104,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20105,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20106,0.0,0.9689655172413794,0.0,0.0034482758620689655,0.010344827586206896,0.010344827586206896,0.006896551724137931
20107,0.0,0.881578947368421,0.039473684210526314,0.039473684210526314,0.013157894736842105,0.013157894736842105,0.013157894736842105
20108,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20109,0.0,0.9782608695652174,0.0,0.010869565217391304,0.010869565217391304,0.0,0.0
20110,0.0,0.9577464788732394,0.0,0.0,0.0,0.04225352112676056,0.0
20111,0.0,0.5,0.0,0.5,0.0,0.0,0.0
20112,0.0,0.75,0.0,0.0,0.0,0.25,0.0
20113,0.09722222222222222,0.5555555555555556,0.027777777777777776,0.1527777777777778,0.08333333333333333,0.08333333333333333,0.0
20114,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20115,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20116,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0
20117,0.125,0.125,0.0,0.125,0.25,0.25,0.125
20118,0.0,0.75,0.0,0.0,0.25,0.0,0.0
20201,0.021505376344086023,0.8602150537634409,0.016129032258064516,0.026881720430107527,0.03763440860215054,0.021505376344086023,0.016129032258064516
20202,0.0,0.8285714285714286,0.0,0.07142857142857142,0.07142857142857142,0.014285714285714285,0.014285714285714285
20203,0.0078125,0.9375,0.0,0.0,0.0078125,0.015625,0.03125
20204,0.0,0.9715099715099715,0.002849002849002849,0.008547008547008548,0.0,0.005698005698005698,0.011396011396011397
20205,0.009433962264150943,0.9339622641509434,0.009433962264150943,0.018867924528301886,0.009433962264150943,0.0,0.018867924528301886
20206,0.0011547344110854503,0.9855658198614319,0.0,0.0005773672055427252,0.008083140877598153,0.0017321016166281756,0.002886836027713626
20207,0.0,0.9827586206896551,0.0,0.0,0.008620689655172414,0.0,0.008620689655172414
20208,0.006825938566552901,0.9726962457337884,0.0,0.0,0.0,0.010238907849829351,0.010238907849829351
20209,0.005405405405405406,0.9675675675675676,0.0,0.0,0.016216216216216217,0.010810810810810811,0.0
20210,0.015873015873015872,0.9285714285714286,0.007936507936507936,0.023809523809523808,0.015873015873015872,0.0,0.007936507936507936
20211,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20212,0.0,0.9886363636363636,0.0,0.0,0.0,0.0,0.011363636363636364
20213,0.2916666666666667,0.6666666666666666,0.0,0.0,0.041666666666666664,0.0,0.0
20214,0.0,0.95,0.0,0.0,0.0,0.05,0.0
20215,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20216,0.02564102564102564,0.8974358974358975,0.0,0.038461538461538464,0.01282051282051282,0.02564102564102564,0.0
20217,0.006741573033707865,0.951123595505618,0.0011235955056179776,0.0056179775280898875,0.006741573033707865,0.0022471910112359553,0.026404494382022473
20301,0.0,0.9835390946502057,0.0,0.006172839506172839,0.00205761316872428,0.006172839506172839,0.00205761316872428
20302,0.012711864406779662,0.9491525423728814,0.00423728813559322,0.01694915254237288,0.00423728813559322,0.012711864406779662,0.0
20303,0.044444444444444446,0.7777777777777778,0.08888888888888889,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223
20304,0.0,0.9487179487179487,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564
20305,0.0,0.9452054794520548,0.0,0.0,0.0136986301369863,0.0045662100456621,0.0365296803652968
20306,0.0035971223021582736,0.9280575539568345,0.0035971223021582736,0.0,0.0035971223021582736,0.01079136690647482,0.050359712230215826
20307,0.009146341463414634,0.9146341463414634,0.003048780487804878,0.012195121951219513,0.003048780487804878,0.021341463414634148,0.036585365853658534
20308,0.0,0.975609756097561,0.0,0.007317073170731708,0.004878048780487805,0.004878048780487805,0.007317073170731708
20309,0.001610305958132045,0.9806763285024155,0.0008051529790660225,0.00322061191626409,0.0008051529790660225,0.004025764895330112,0.008856682769726247
20310,0.0,0.9741784037558685,0.0,0.002347417840375587,0.002347417840375587,0.002347417840375587,0.018779342723004695
20311,0.0030441400304414,0.9497716894977168,0.0015220700152207,0.0,0.0121765601217656,0.0045662100456621,0.0289193302891933
20312,0.0040650406504065045,0.9898373983739838,0.0,0.0020325203252032522,0.0040650406504065045,0.0,0.0
20313,0.0,0.9778270509977827,0.0,0.0,0.0022172949002217295,0.0022172949002217295,0.017738359201773836
20314,0.008522727272727272,0.9630681818181818,0.0,0.014204545454545454,0.002840909090909091,0.0,0.011363636363636364
20315,0.02346805736636245,0.8018252933507171,0.014341590612777053,0.06258148631029987,0.04302477183833116,0.04432855280312908,0.010430247718383311
20316,0.0,0.9712918660287081,0.0,0.0,0.004784688995215311,0.0,0.023923444976076555
20317,0.0,0.9307692307692308,0.0,0.015384615384615385,0.023076923076923078,0.015384615384615385,0.015384615384615385
20318,0.0,0.8,0.0,0.15,0.05,0.0,0.0
