dataset,outcome,variant,dropped_dname,beta,se,p,sig,n
census,amen_cooking_kerosene,loo,Bajhang,0.013183724715804708,0.0060699984897676145,0.033108399656918294,**,148
census,amen_water_traditional,loo,Bajhang,0.13049222060018179,0.07748904380659885,0.0964516483464689,*,148
census,ind_agri_forestry_fish,loo,Bajhang,-0.14028657258598365,0.07723214375702149,0.07341020150361789,*,148
census,mig_in_internal_share,loo,Bajhang,-0.1561077287421341,0.08705527317142991,0.07708258329579049,*,148
census,mig_in_temp_noneconomic_share,loo,Bajhang,-0.3099796647755075,0.10034976160440487,0.0028404893034878437,***,148
census,mig_in_temp_share,loo,Bajhang,-0.49163459663564535,0.18713877916167057,0.010488442066585817,**,148
census,net_internal_mig_share,loo,Bajhang,-0.3373203634031501,0.13517706566675936,0.01484216700468897,**,148
census,net_temp_mig_share,loo,Bajhang,-0.7256110224788376,0.2425234454799951,0.003779598141545967,***,148
hh,edu_spend_total_12m,loo,Bajhang,-4728.024081436869,1120.4255191449724,1.079394775244423e-4,***,16751
hh,input_intensity_per_sqm,loo,Bajhang,-0.8273466543442505,0.3467497532989501,0.02102506969935744,**,13102
hh,n_workers_total,loo,Bajhang,-0.12946413804203544,0.07111177282817517,0.0749091246105831,*,17146
hh,nonfood_exp_12m,loo,Bajhang,-19919.232499497964,9468.070577026658,0.040657486755061686,**,17146
hh,remit_amount_intl_12m_rs,loo,Bajhang,-7803.178644712173,4973.553188472452,0.12323268361351616,,17146
hh,sector_transport,loo,Bajhang,-0.005491763819425633,0.0014277706908655534,3.530644069138239e-4,***,17146
hh,share_fallow_wet,loo,Bajhang,0.012942793571879455,0.00817128764431043,0.11977557883156742,,14613
hh,total_input_cost_rs,loo,Bajhang,-2059.3136025229755,1041.0689797134182,0.05367570747873592,*,17146
nec_cs,emp_total,loo,Bajhang,-40412.277792015295,15506.588697209529,0.01137758652606651,**,74
nec_cs,n_firms,loo,Bajhang,-8983.59719835509,3294.7028936184497,0.008244950879188978,***,74
nec_cs,share_keeps_accounts,loo,Bajhang,0.045693546662197715,0.02600012866594374,0.0836257660527976,*,74
nec_panel,log_n_new_firms_education_health_social,loo,Bajhang,0.3986304583762472,0.19322370423682653,0.04266504488216178,**,592
nec_panel,log_n_new_firms_size_medium_10_50,loo,Bajhang,0.40675627050694313,0.24308829008029198,0.0985513264375927,*,592
nec_panel,log_rev_new_firms,loo,Bajhang,1.028760368257427,0.5105144364850831,0.047572336676704255,**,592
census,amen_assets_car,loo,Bajura,-0.022113013354686198,0.00867793265346016,0.012932032155127686,**,148
census,amen_assets_computer,loo,Bajura,-0.03837165262646945,0.020626378933948572,0.06686838497035975,*,148
census,amen_assets_landline,loo,Bajura,0.12022921646163325,0.02599765846006159,1.585628513247093e-5,***,148
