hhid,year,member_id,wt_hh,vmun_code,lgname,district77,district_name,is_internal,is_international,dest_india,dest_gulf,dest_malaysia,dest_other_country,s11q02b_raw,s11q02d_raw,s11q02a_raw,migrant_male,migrant_female,migrant_third_gender,migrant_age,months_away,long_term_migrant,reason_work,reason_education,reason_family,reason_disaster,earning_primary_rs,earning_secondary_rs,earning_total_rs,has_secondary_job,remit_sent_flag,remit_amount_rs,remit_freq_per_year,remit_via_formal,remit_via_informal,remit_via_bank_ime,remit_via_friends,remit_via_hundi,remit_via_other,remit_use_consumption,remit_use_human_capital,remit_use_business_investment,remit_use_land_housing,remit_use_investment_any,remit_use_debt,mig_cost_any,mig_cost_rs,mig_cost_loan_flag,cost_to_monthly_earning_ratio
29,2018,28981,634.085205078125,70804,Gauriganga Municipality,Kailali,Kailali,0,1,0,0,1,0,Malayasia,,,1,0,0,35,43,1,1,0,0,0,55000,0,55000,,1,200000,2,1,0,1,0,0,0,1,0,0,0,0,1,1,120000,1,2.1818181818181817
34,2016,28982,898.64581298828125,11306,Itahari Sub-Metropolitian City,Sunsari,Sunsari,1,0,0,0,0,0,,,Jhapa,0,1,0,12,36,1,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,1,300,0,
34,2017,28982,898.64581298828125,11306,Itahari Sub-Metropolitian City,Sunsari,Sunsari,1,0,0,0,0,0,,,Jhapa,0,1,0,13,49,1,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,1,500,0,
34,2018,28982,898.64581298828125,11306,Itahari Sub-Metropolitian City,Sunsari,Sunsari,1,0,0,0,0,0,,,Jhapa,0,1,0,14,61,1,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,1,500,0,
38,2018,2681,547.52593994140625,70601,Purbichouki Gaunpalika,Doti,Doti,0,1,1,0,0,0,India,,,1,0,0,24,11,0,1,0,0,0,13000,0,13000,,1,40000,3,1,1,1,1,0,0,0,1,0,0,0,0,1,5000,0,0.38461538461538464
43,2016,28983,618.27056884765625,61004,Gurbhakot Municipality,Surkhet,Surkhet,1,0,0,0,0,0,,,Kathmandu,1,0,0,29,30,1,1,0,0,0,998,0,998,,0,0,,,,,,,,,,,,,,1,4000,0,4.008016032064128
43,2016,28984,618.27056884765625,61004,Gurbhakot Municipality,Surkhet,Surkhet,0,1,1,0,0,0,India,,,1,0,0,23,12,0,1,0,0,0,14000,0,14000,,1,4000,1,0,1,0,1,0,0,1,0,0,0,0,0,1,3000,0,0.21428571428571427
43,2017,28983,618.27056884765625,61004,Gurbhakot Municipality,Surkhet,Surkhet,1,0,0,0,0,0,,,Kathmandu,1,0,0,30,43,1,1,0,0,0,9000,0,9000,,0,0,,,,,,,,,,,,,,1,2500,0,0.2777777777777778
43,2017,28984,618.27056884765625,61004,Gurbhakot Municipality,Surkhet,Surkhet,0,1,1,0,0,0,India,,,1,0,0,24,25,1,1,0,0,0,13000,0,13000,,0,0,,,,,,,,,,,,,,1,3000,0,0.23076923076923078
43,2018,28984,618.27056884765625,61004,Gurbhakot Municipality,Surkhet,Surkhet,0,0,0,0,0,0,,,,0,0,0,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,0,,
43,2018,28983,618.27056884765625,61004,Gurbhakot Municipality,Surkhet,Surkhet,1,0,0,0,0,0,,,Kathmandu,1,0,0,31,55,1,1,0,0,0,18000,0,18000,,1,55000,2,1,0,1,0,0,0,1,0,0,0,0,0,1,5500,0,0.3055555555555556
46,2016,28985,898.64581298828125,11312,Barju Gaunpalika,Sunsari,Sunsari,0,1,0,0,1,0,Malayasia,,,1,0,0,19,30,1,1,0,0,0,22000,0,22000,,1,200000,2,1,0,1,0,0,0,1,1,1,0,1,0,1,80000,0,3.6363636363636362
46,2017,28985,898.64581298828125,11312,Barju Gaunpalika,Sunsari,Sunsari,0,1,0,0,1,0,Malayasia,,,1,0,0,20,43,1,1,0,0,0,35000,0,35000,,1,300000,3,1,0,1,0,0,0,1,0,1,0,1,1,1,160000,1,4.571428571428571
46,2018,28985,898.64581298828125,11312,Barju Gaunpalika,Sunsari,Sunsari,0,1,0,0,1,0,Malayasia,,,1,0,0,21,55,1,1,0,0,0,40000,0,40000,,1,300000,4,1,0,1,0,0,0,0,0,0,1,1,0,1,120000,1,3
47,2017,2727,544.4632568359375,11401,Belaka Municipality,Udayapur,Udayapur,1,0,0,0,0,0,,,Kathmandu,1,0,0,33,12,0,1,0,0,0,998,0,998,,1,10000,1,1,0,1,0,0,0,1,1,0,0,0,0,1,2000,0,2.004008016032064
47,2018,2727,544.4632568359375,11401,Belaka Municipality,Udayapur,Udayapur,1,0,0,0,0,0,,,Kathmandu,1,0,0,34,24,0,1,0,0,0,25000,0,25000,,1,150000,4,1,1,1,1,0,0,1,1,0,0,0,1,1,2000,0,0.08
49,2017,2739,898.64581298828125,11207,Pathari Shanishchare Municipality,Morang,Morang,1,0,0,0,0,0,,,Jhapa,1,0,0,22,8,0,0,0,0,0,19000,0,19000,,1,75000,5,1,0,1,0,0,0,1,0,1,0,1,1,1,500,0,0.02631578947368421
49,2018,2739,898.64581298828125,11207,Pathari Shanishchare Municipality,Morang,Morang,1,0,0,0,0,0,,,Rautahat,1,0,0,23,8,0,1,0,0,0,17300,0,17300,,1,50000,2,1,0,1,0,0,0,1,1,1,0,1,1,1,1000,0,0.057803468208092484
51,2016,28986,487.4611206054687,31105,Kamalamai Municipality,Sindhuli,Sindhuli,0,1,0,0,1,0,Malayasia,,,1,0,0,33,24,0,1,0,0,0,998,0,998,,1,150000,2,1,0,1,0,0,0,1,0,0,0,0,1,1,120000,1,120.24048096192385
51,2017,28986,487.4611206054687,31105,Kamalamai Municipality,Sindhuli,Sindhuli,0,1,0,0,1,0,Malayasia,,,1,0,0,34,37,1,1,0,0,0,40000,0,40000,,1,250000,4,1,0,1,0,0,0,1,0,0,1,1,0,1,100000,1,2.5
51,2018,28986,487.4611206054687,31105,Kamalamai Municipality,Sindhuli,Sindhuli,0,1,0,0,1,0,Malayasia,,,1,0,0,35,49,1,1,0,0,0,45000,0,45000,,1,300000,3,1,0,1,0,0,0,1,1,0,1,1,0,1,150000,1,3.3333333333333335
52,2018,2745,618.27056884765625,50102,Sisne Gaupalika,Rukum East,Rukum,0,1,1,0,0,0,India,,,1,0,0,49,5,0,1,0,0,0,998,0,998,,1,30000,2,1,0,1,0,0,0,1,0,1,0,1,1,1,3000,0,3.006012024048096
52,2018,2747,618.27056884765625,50102,Sisne Gaupalika,Rukum East,Rukum,0,1,1,0,0,0,India,,,1,0,0,19,3,0,1,0,0,0,998,0,998,,0,0,,,,,,,,,,,,,,1,2500,0,2.50501002004008
54,2016,28987,666.9111328125,51105,Janaki Gaunpalika,Banke,Banke,0,1,0,0,1,0,Malayasia,,,1,0,0,17,12,0,1,0,0,0,33000,0,33000,,1,150000,2,1,0,1,0,0,0,0,0,0,0,0,1,1,160000,1,4.848484848484849
54,2017,28987,666.9111328125,51105,Janaki Gaunpalika,Banke,Banke,0,0,0,0,0,0,,,,0,0,0,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,0,,
57,2017,2765,898.64581298828125,11209,Ratuwamai Municipality,Morang,Morang,1,0,0,0,0,0,,,Dhankuta,1,0,0,28,8,0,1,0,0,0,20000,0,20000,,1,10000,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1000,0,0.05
57,2018,2765,898.64581298828125,11209,Ratuwamai Municipality,Morang,Morang,0,0,0,0,0,0,,,,0,0,0,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,0,,
59,2016,28988,898.64581298828125,11207,Pathari Shanishchare Municipality,Morang,Morang,0,1,0,0,1,0,Malayasia,,,1,0,0,47,37,1,1,0,0,0,30000,0,30000,,1,240000,4,1,0,1,0,0,0,1,1,1,0,1,0,1,70000,1,2.3333333333333335
59,2017,28988,898.64581298828125,11207,Pathari Shanishchare Municipality,Morang,Morang,0,1,0,0,1,0,Malayasia,,,1,0,0,48,50,1,1,0,0,0,25000,0,25000,,1,200000,3,1,0,1,0,0,0,1,1,0,0,0,1,1,110000,1,4.4
59,2018,2773,898.64581298828125,11207,Pathari Shanishchare Municipality,Morang,Morang,1,0,0,0,0,0,,,Sunsari,0,1,0,21,11,0,0,1,0,0,0,0,0,,0,0,,,,,,,,,,,,,,1,200,0,
59,2018,28988,898.64581298828125,11207,Pathari Shanishchare Municipality,Morang,Morang,0,0,0,0,0,0,,,,0,0,0,,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,0,,
60,2016,28989,544.4632568359375,11001,Mai Municipality,Ilam,Ilam,0,1,0,1,0,0,Saudi Arabia,,,1,0,0,23,36,1,1,0,0,0,20000,0,20000,,1,180000,3,1,0,1,0,0,0,1,0,1,0,1,1,1,180000,1,9
60,2017,28989,544.4632568359375,11001,Mai Municipality,Ilam,Ilam,0,1,0,1,0,0,Saudi Arabia,,,1,0,0,24,49,1,1,0,0,0,998,0,998,,1,300000,3,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,1,100.20040080160321
60,2017,2777,544.4632568359375,11001,Mai Municipality,Ilam,Ilam,0,1,0,0,0,1,Other,,,1,0,0,30,11,0,1,0,0,0,998,0,998,,1,300000,3,1,0,1,0,0,0,1,1,1,0,1,0,1,100000,0,100.20040080160321
60,2018,2777,544.4632568359375,11001,Mai Municipality,Ilam,Ilam,0,1,0,1,0,0,Qatar,,,1,0,0,31,10,0,1,0,0,0,998,0,998,,1,150000,1,1,0,1,0,0,0,1,0,0,0,0,0,1,120000,0,120.24048096192385
60,2018,28989,544.4632568359375,11001,Mai Municipality,Ilam,Ilam,0,1,0,1,0,0,Saudi Arabia,,,1,0,0,25,61,1,1,0,0,0,998,0,998,,1,80000,2,1,0,1,0,0,0,1,0,0,0,0,0,1,100000,1,100.20040080160321
61,2016,28990,754.5958251953125,50602,Purbakhola Gaunpalika,Palpa,Palpa,0,1,1,0,0,0,India,,,1,0,0,33,9,0,1,0,0,0,18000,0,18000,,1,85000,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,0
61,2017,28990,754.5958251953125,50602,Purbakhola Gaunpalika,Palpa,Palpa,0,1,1,0,0,0,India,,,1,0,0,34,22,0,1,0,0,0,998,0,998,,1,80000,3,1,0,1,0,0,0,1,0,0,0,0,0,1,6500,0,6.513026052104208
61,2018,28990,754.5958251953125,50602,Purbakhola Gaunpalika,Palpa,Palpa,0,1,1,0,0,0,India,,,1,0,0,35,34,1,1,0,0,0,30000,0,30000,,1,150000,5,1,0,1,0,0,0,1,1,0,0,0,1,1,5000,0,0.16666666666666666
62,2017,2781,618.27056884765625,60801,Aathbiskot Nagarpalika,Rukum West,Rukum,0,1,1,0,0,0,India,,,1,0,0,34,9,0,1,0,0,0,29000,0,29000,,1,100000,2,1,0,1,0,0,0,1,0,0,0,0,1,1,8000,0,0.27586206896551724
